repeat_id,n_test,roc_plain,pr_plain,roc_monai,pr_monai,roc_ensemble_w0.5,pr_ensemble_w0.5,roc_ensemble_oracle,pr_ensemble_oracle,oracle_best_w,roc_ensemble_plus_age_sex_lr,pr_ensemble_plus_age_sex_lr
49,29,0.9476190476190477,0.9342749298631652,0.8357142857142856,0.8456205685153053,0.9714285714285715,0.9749346405228758,0.9761904761904763,0.9759432234432235,0.7,0.9476190476190476,0.959297565179918
50,29,0.9714285714285715,0.9739334195216548,0.8,0.8493338143338143,0.9761904761904763,0.9778223084105437,0.9857142857142858,0.9866269841269841,0.6,0.9857142857142858,0.9877124183006536
51,29,0.8857142857142857,0.8951536426536426,0.7523809523809524,0.7993626935006245,0.8714285714285714,0.8859515321280026,0.9095238095238094,0.9246104657869363,0.8,0.8809523809523808,0.8705107855107855
52,29,0.8714285714285714,0.9003151967857849,0.7571428571428571,0.7607237742764059,0.8476190476190476,0.8560770564717932,0.8761904761904762,0.8997218376165744,0.8,0.8761904761904762,0.8937684173361922
53,29,0.8761904761904762,0.8824435586200292,0.8904761904761905,0.8907846132768733,0.9285714285714286,0.9107523413405765,0.9285714285714286,0.9107523413405765,0.4,0.9285714285714286,0.9018146124028478
54,29,0.8857142857142857,0.9076152659976189,0.6476190476190476,0.6399392998808384,0.8047619047619048,0.8317908971052987,0.8857142857142857,0.9076152659976189,1.0,0.8666666666666666,0.8985859811062651
55,29,0.919047619047619,0.9135483035483035,0.8476190476190476,0.8872357616010866,0.9285714285714286,0.9314878261859686,0.9333333333333333,0.9308239364121716,0.6,0.9476190476190476,0.9561229620053149
56,29,0.8333333333333334,0.8791367456073338,0.7904761904761904,0.8020853415590258,0.8285714285714285,0.8551953722605896,0.861904761904762,0.8873850223850223,0.7,0.8952380952380952,0.9142602420462832
57,29,0.9761904761904763,0.9778223084105437,0.7952380952380953,0.7910910184823229,0.9142857142857144,0.9007316213198566,0.9761904761904763,0.9778223084105437,1.0,0.9380952380952381,0.9313872619754973
58,29,0.8142857142857143,0.7925008178955547,0.7523809523809525,0.8118570074655267,0.8666666666666667,0.896511100984785,0.8761904761904762,0.8910438472203177,0.7,0.8761904761904762,0.899269506660811
59,29,0.8761904761904762,0.8539396823220352,0.719047619047619,0.7918859789448025,0.9047619047619048,0.8979921113744642,0.9142857142857144,0.919248665564455,0.4,0.9571428571428572,0.9581902737785091
60,29,0.8952380952380952,0.9134383046147752,0.7714285714285714,0.808979402949991,0.8857142857142857,0.9037551915412327,0.9,0.9186364398129103,0.7,0.9095238095238094,0.9219868203691732
61,29,0.9523809523809524,0.961062271062271,0.7666666666666667,0.8169302484008366,0.9333333333333333,0.9585185185185185,0.9571428571428571,0.9666178266178266,0.9,0.9761904761904762,0.9815204678362572
62,29,0.9095238095238095,0.9159324009324008,0.8666666666666667,0.9014291988205032,0.9238095238095239,0.9510275689223058,0.9285714285714286,0.9502950752950753,0.6,0.9571428571428571,0.9653113175094599
63,29,0.8095238095238095,0.8295571238137531,0.8333333333333334,0.8786365486365486,0.8857142857142857,0.8973095113807188,0.8857142857142857,0.9110964596642346,0.3,0.9142857142857143,0.9214736298559827
64,29,0.7666666666666667,0.6977610206557575,0.7333333333333333,0.799086839086839,0.8333333333333333,0.849820036282548,0.8428571428571429,0.8514830376595082,0.7,0.8476190476190477,0.8668518518518518
65,29,0.9238095238095239,0.9320527895450496,0.6857142857142857,0.688934267486899,0.8714285714285714,0.8742493617493616,0.9238095238095239,0.9320527895450496,1.0,0.9095238095238094,0.9005120913944443
66,29,0.9428571428571428,0.9535218923376818,0.8523809523809524,0.8494437044437045,0.9428571428571428,0.9510164457145881,0.9476190476190476,0.9586500974658869,0.7,0.9523809523809523,0.9561253074410969
67,29,0.8047619047619048,0.8203003237445962,0.7571428571428571,0.7655328417712318,0.8,0.8426617625530669,0.8142857142857143,0.8344848864585706,0.9,0.8571428571428572,0.8740603476281225
68,29,0.8857142857142857,0.9041507566507566,0.7714285714285715,0.8328496503496503,0.8761904761904762,0.9125166620818794,0.8857142857142857,0.9127889501802544,0.8,0.9285714285714286,0.9403844578767179
69,29,0.9142857142857144,0.9163120488043088,0.861904761904762,0.9135729847494554,0.9761904761904763,0.9790616246498599,0.9761904761904763,0.9790616246498599,0.4,0.9904761904761905,0.992156862745098
70,29,0.9333333333333333,0.9373439632263161,0.7952380952380953,0.8067654132360014,0.9142857142857141,0.9243930922878291,0.9428571428571428,0.9470953229776758,0.6,0.9047619047619047,0.9255000245712319
71,29,0.8523809523809525,0.8667012617012617,0.7571428571428571,0.8192470683849994,0.8428571428571429,0.8873234367971209,0.8523809523809525,0.8667012617012617,1.0,0.8428571428571429,0.8817924862661704
72,29,0.9476190476190476,0.9405307655307655,0.9285714285714285,0.9455067155067154,0.9761904761904763,0.9778223084105437,0.9761904761904763,0.9778223084105437,0.5,1.0,1.0
73,29,0.919047619047619,0.927122137122137,0.8285714285714286,0.8552318052318052,0.9238095238095237,0.9338376438376438,0.9428571428571428,0.9485669507650931,0.6,0.9476190476190476,0.9571330034487928
74,29,0.9285714285714286,0.943540616814274,0.8238095238095238,0.8755532551184725,0.9047619047619048,0.9403265107212475,0.9333333333333333,0.9611640211640211,0.7,0.9476190476190476,0.9596296296296296
75,29,0.8714285714285714,0.8952621452621452,0.6666666666666666,0.6663719685687649,0.8666666666666667,0.8822971271884315,0.9047619047619047,0.9218203708915782,0.8,0.9333333333333333,0.9485273985273985
76,29,0.819047619047619,0.8232645327382169,0.8904761904761905,0.9012485461398505,0.8999999999999999,0.9062643946467476,0.9095238095238095,0.9082783066606595,0.4,0.9,0.8961354495178024
77,29,0.8476190476190475,0.8653747522400773,0.7571428571428571,0.7457908176561427,0.8809523809523809,0.8805717539541068,0.8809523809523809,0.8805717539541068,0.5,0.9333333333333333,0.9425901875901874
78,29,0.8904761904761904,0.9149502544239385,0.7857142857142856,0.780208386384857,0.9047619047619047,0.8838946238946238,0.919047619047619,0.9201827801827801,0.7,0.9571428571428571,0.9600141963299857
79,29,0.9714285714285715,0.9739334195216548,0.8238095238095239,0.8763009887715769,0.9857142857142858,0.9877124183006536,0.9857142857142858,0.9877124183006536,0.5,0.9857142857142858,0.9877124183006536
80,29,0.8952380952380953,0.9368190263842437,0.7190476190476192,0.7991769988713977,0.861904761904762,0.9230297671676981,0.8952380952380953,0.9368190263842437,1.0,0.9142857142857143,0.9495726495726495
81,29,0.8095238095238095,0.8232340644105349,0.6952380952380952,0.7407332277858594,0.7952380952380953,0.8412283622316182,0.8142857142857143,0.853400476609615,0.7,0.8571428571428571,0.889340180516651
82,29,0.7761904761904762,0.7657944826594713,0.9142857142857144,0.9456654456654456,0.8809523809523809,0.9091525903290608,0.9285714285714286,0.956980056980057,0.1,0.9142857142857143,0.9357422969187674
83,29,0.8476190476190476,0.8704977266741972,0.6761904761904762,0.6901329979503353,0.8476190476190476,0.871368337544808,0.8571428571428571,0.882477676548884,0.9,0.8904761904761904,0.8952156013920719
84,29,0.8619047619047618,0.8787621832358673,0.8285714285714285,0.8200001414707297,0.8952380952380952,0.8991679238660663,0.9047619047619048,0.9074707321688745,0.4,0.9523809523809523,0.9594959778783307
85,29,0.8523809523809524,0.8877726902726902,0.680952380952381,0.7845267592171616,0.819047619047619,0.8864777460893613,0.8523809523809524,0.901423318061249,0.8,0.8714285714285714,0.9215498581877891
86,29,0.919047619047619,0.9311085990033358,0.8428571428571427,0.8143788455553161,0.9047619047619048,0.8999449733273261,0.9333333333333333,0.937504679702822,0.8,0.9285714285714286,0.9286541236541236
87,29,0.8523809523809524,0.8606836535783904,0.7571428571428571,0.787590598828989,0.8809523809523809,0.8848996989709064,0.8904761904761904,0.9054023444735518,0.7,0.8238095238095239,0.857062012062012
88,29,0.9,0.9182501866325395,0.7095238095238096,0.7442627220274279,0.8380952380952381,0.8599201833025362,0.9095238095238095,0.9323242607066136,0.9,0.9047619047619047,0.9093307727131256
89,29,0.9095238095238095,0.8906365856365855,0.8904761904761905,0.913511026011026,0.9523809523809523,0.9488640988640988,0.9523809523809524,0.9515236071118424,0.4,0.9761904761904763,0.9778223084105437
90,29,0.8428571428571429,0.7877835127835128,0.7904761904761904,0.8620421926507118,0.8523809523809524,0.8844182860562171,0.8619047619047618,0.9118653760033071,0.4,0.8714285714285714,0.9148057380148764
91,29,0.8619047619047618,0.9009472934472934,0.6857142857142857,0.7647429692994372,0.8428571428571427,0.897300738477209,0.8666666666666667,0.9134163059163058,0.7,0.919047619047619,0.9339442039442039
92,29,0.9,0.9190936694884062,0.8523809523809525,0.8961279461279461,0.9142857142857143,0.9416174674998203,0.9142857142857143,0.9416174674998203,0.5,0.9428571428571428,0.9542063492063491
93,29,0.8047619047619047,0.8095973814627064,0.7857142857142856,0.8410975671501987,0.838095238095238,0.849583163654371,0.8523809523809525,0.870395976572447,0.2,0.8666666666666666,0.8913979392926761
94,29,0.9523809523809523,0.9556179115002643,0.8238095238095238,0.8435667600373482,0.9571428571428571,0.9562715062715063,0.9619047619047619,0.9595394801277155,0.7,0.9714285714285715,0.9722667528549882
95,29,0.8857142857142857,0.8101215726138327,0.8571428571428572,0.8664100908837751,0.9333333333333333,0.9330212489036017,0.9428571428571428,0.9470953229776758,0.3,0.9476190476190476,0.9507159507159507
96,29,0.8285714285714285,0.8097520072520072,0.8523809523809522,0.8523000832443557,0.9047619047619047,0.9122832722832722,0.9142857142857143,0.9343889134601209,0.3,0.9285714285714286,0.928320394202747
97,29,0.8380952380952381,0.8598578273578272,0.8333333333333334,0.8815286951403103,0.8952380952380953,0.923902413040344,0.8952380952380953,0.923902413040344,0.4,0.9142857142857143,0.9424643874643874
98,29,0.8904761904761904,0.9095981486693561,0.7714285714285715,0.7990934186586359,0.9095238095238094,0.926582275653483,0.9142857142857143,0.9283399787347155,0.6,0.942857142857143,0.9424271480153832
99,29,0.9523809523809523,0.9549222999222999,0.95,0.959297565179918,0.9857142857142858,0.9877124183006536,0.9952380952380953,0.9958333333333333,0.3,0.9714285714285714,0.9771241830065359
